EVENT_NAME,EVENT_YEAR,ED_ABBREVIATION,ED_NAME,AGE_GROUP,PARTICIPATION,REGISTERED_VOTERS,EVENT_DATE_TEXT
General Election 2017,2017,POR,Powell River-Sunshine Coast,45-54,"3,813","5,965",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,55-64,"6,944","9,310",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,65-74,"6,841","8,414",05/09/2017
General Election 2017,2017,POR,Powell River-Sunshine Coast,75+,"4,020","5,441",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,18-24,"1,364","2,735",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,25-34,"2,415","5,818",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,35-44,"2,771","5,398",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,45-54,"3,632","6,355",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,55-64,"4,291","6,508",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,65-74,"3,085","4,124",05/09/2017
General Election 2017,2017,PRM,Prince George-Mackenzie,75+,"1,364","2,003",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,18-24,"1,278","2,509",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,25-34,"2,530","6,144",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,35-44,"2,670","5,353",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,45-54,"3,496","6,355",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,55-64,"4,300","6,582",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,65-74,"3,222","4,403",05/09/2017
General Election 2017,2017,PRV,Prince George-Valemount,75+,"1,917","2,859",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,18-24,"1,018","1,968",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,25-34,"1,928","5,475",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,35-44,"1,886","4,606",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,45-54,"2,693","5,647",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,55-64,"3,341","6,448",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,65-74,"2,654","4,394",05/09/2017
General Election 2017,2017,RNC,Richmond North Centre,75+,"1,712","3,157",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,18-24,"1,661","2,896",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,25-34,"2,467","5,791",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,35-44,"3,079","5,966",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,45-54,"4,085","7,116",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,55-64,"4,299","7,096",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,65-74,"2,863","4,360",05/09/2017
General Election 2017,2017,RQE,Richmond-Queensborough,75+,"1,578","2,686",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,18-24,930,"1,851",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,25-34,"1,697","4,998",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,35-44,"1,934","4,625",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,45-54,"2,821","5,861",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,55-64,"3,060","6,152",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,65-74,"2,417","4,261",05/09/2017
General Election 2017,2017,RSC,Richmond South Centre,75+,"1,503","3,005",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,18-24,"1,565","2,551",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,25-34,"1,948","4,387",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,35-44,"2,766","4,931",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,45-54,"4,380","6,738",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,55-64,"4,914","7,315",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,65-74,"4,084","5,535",05/09/2017
General Election 2017,2017,RST,Richmond-Steveston,75+,"2,242","3,432",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,18-24,"1,680","2,596",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,25-34,"2,453","4,477",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,35-44,"3,458","5,161",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,45-54,"4,694","6,710",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,55-64,"8,083","10,302",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,65-74,"8,836","10,471",05/09/2017
General Election 2017,2017,SAN,Saanich North and the Islands,75+,"6,099","7,898",05/09/2017
General Election 2017,2017,SAS,Saanich South,18-24,"2,107","3,298",05/09/2017
General Election 2017,2017,SAS,Saanich South,25-34,"2,860","5,346",05/09/2017
General Election 2017,2017,SAS,Saanich South,35-44,"3,490","5,233",05/09/2017
General Election 2017,2017,SAS,Saanich South,45-54,"4,773","6,780",05/09/2017
General Election 2017,2017,SAS,Saanich South,55-64,"6,121","7,889",05/09/2017
General Election 2017,2017,SAS,Saanich South,65-74,"5,115","6,256",05/09/2017
General Election 2017,2017,SAS,Saanich South,75+,"3,733","5,124",05/09/2017
General Election 2017,2017,SHU,Shuswap,18-24,985,"2,009",05/09/2017
General Election 2017,2017,SHU,Shuswap,25-34,"1,845","4,413",05/09/2017
General Election 2017,2017,SHU,Shuswap,35-44,"2,161","4,501",05/09/2017
General Election 2017,2017,SHU,Shuswap,45-54,"3,521","6,523",05/09/2017
General Election 2017,2017,SHU,Shuswap,55-64,"6,780","10,020",05/09/2017
General Election 2017,2017,SHU,Shuswap,65-74,"6,873","8,741",05/09/2017
General Election 2017,2017,SHU,Shuswap,75+,"4,513","6,274",05/09/2017
General Election 2017,2017,SKE,Skeena,18-24,824,"1,500",05/09/2017
General Election 2017,2017,SKE,Skeena,25-34,"1,710","3,471",05/09/2017
General Election 2017,2017,SKE,Skeena,35-44,"1,876","3,289",05/09/2017
General Election 2017,2017,SKE,Skeena,45-54,"2,521","4,052",05/09/2017
General Election 2017,2017,SKE,Skeena,55-64,"2,951","4,196",05/09/2017
General Election 2017,2017,SKE,Skeena,65-74,"2,072","2,722",05/09/2017
General Election 2017,2017,SKE,Skeena,75+,"1,086","1,549",05/09/2017
